time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1899-12-25T12:25:00.000Z,33.8,-117,,6.75,mw,,,,,ushis,ushis386,2018-06-04T20:43:44.000Z,"Southern California",earthquake,,,,,reviewed,ushis,hk
1899-09-23T12:50:00.000Z,59,-143,,7,ms,,,,,ushis,ushis378,2018-06-04T20:43:44.000Z,"Gulf of Alaska",earthquake,,,,,reviewed,ushis,abe
1899-09-23T11:04:00.000Z,60,-143,,6.9,ms,,,,,ushis,ushis377,2018-06-04T20:43:44.000Z,"Southern Alaska",earthquake,,,,,reviewed,ushis,abe
1899-09-17T12:50:00.000Z,59,-136,,6.9,ms,,,,,ushis,ushis375,2018-06-04T20:43:44.000Z,"Southeastern Alaska",earthquake,,,,,reviewed,ushis,abe
1899-09-10T21:41:00.000Z,60,-140,,8.16,mw,,,,,ushis,ushis369,2018-06-04T20:43:44.000Z,"Southeastern Alaska",earthquake,,,,,reviewed,ushis,pt
1899-09-10T17:04:00.000Z,60,-140,,7.4,ms,,,,,ushis,ushis364,2018-06-04T20:43:44.000Z,"Southeastern Alaska",earthquake,,,,,reviewed,ushis,abe
1899-09-04T04:40:00.000Z,60,-142,,6.9,ms,,,,,ushis,ushis362,2018-06-04T20:43:44.000Z,"Southeastern Alaska",earthquake,,,,,reviewed,ushis,abe
1899-09-04T00:22:00.000Z,60,-142,,8.16,mw,,,,,ushis,ushis360,2018-06-04T20:43:44.000Z,"Southeastern Alaska",earthquake,,,,,reviewed,ushis,pt
1899-07-22T20:32:00.000Z,34.3,-117.5,,6.36,mw,,,,,ushis,ushis359,2018-06-04T20:43:44.000Z,"Southern California",earthquake,,,,,reviewed,ushis,hht
1899-07-22T00:46:00.000Z,34.2,-117.4,,5.5,ml,,,,,ushis,ushis358,2018-06-04T20:43:44.000Z,"Greater Los Angeles area, California",earthquake,,,,,reviewed,ushis,cdmg
1899-07-14T13:32:00.000Z,60,-150,,7.2,ms,,,,,ushis,ushis357,2018-06-04T20:43:44.000Z,"Kenai Peninsula, Alaska",earthquake,,,,,reviewed,ushis,abe
1899-07-06T20:10:00.000Z,37.2,-121.5,,5.8,ml,,,,,ushis,ushis355,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,cdmg
1899-06-02T07:19:00.000Z,37.7,-122.5,,5.4,ml,,,,,ushis,ushis354,2018-06-04T20:43:44.000Z,"San Francisco Bay area, California",earthquake,,,,,reviewed,ushis,cdmg
